"tipo_bien","numero_oficio","juzgado","tipo_delito","medida","fecha_recepcion","fecha_medida","localizacion","provincia","estupefaciente_sustancia","estupefaciente_cantidad","arma_tipo","arma_numero_serie","arma_marca","arma_modelo","arma_calibre","automotor_tipo","automotor_dominio","automotor_marca","automotor_modelo","automotor_color","automotor_anio","aeronave_numero_serie","aeronave_matricula","aeronave_marca","aeronave_modelo","buque_pais","buque_nombre","buque_matricula","dinero_moneda_descripcion","dinero_cantidad","titulo_tipo","titulo_nombre_emisor","titulo_cantidad","titulo_fecha_vencimiento","titulo_categoria","titulo_bolsa_cotiza","titulo_moneda","otro_clasificacion","otro_detalle","provincia_id"
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","GZR199","Ford","CARGO 1722E",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","GZU349","Volkswagen","VENTO 2.5",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","HAJ302","Ford","CARGO 1722E",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","HBF501","Ford","CARGO 1832E",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","HBF517","Toyota","HILUX 4X2",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","HST190","Renault","MASTER DCI 120 CORTO",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","HST191","Renault","MASTER",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","HWC429","IVECO","450E32T",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","HZQ571","Peugeot","307 XS 2.0",,,,,,,,,,,,,,,,,,,,,""
"automotor",,"Juzgado Criminal y Correccional Federal Nro. 10","DELITOS CONTRA EL ORDEN ECONOMICO Y FINANCIERO (Art. 303 al 313)","Secuestro",,,,,,,,,,,,"Automóvil","IFU999","Honda","B52-CRVEXL",,"2009",,,,,,,,,,,,,,,,,,,""
